,电影类别,编码,公映证号,片名,第一出品单位,上映日期,导演,主演,国别/地区,img_remote
0,国产故事片,1100122021,12,夏天的蜗牛,青岛东唐欢乐影业有限公司,,,,,
1,国产故事片,1100852021,80,图拉河上的爱情,安徽心剑文化传媒有限公司,,,,,
2,国产故事片,1100992021,96,紧箍咒之不法山,北京捕风影业有限公司,,,,,
3,国产故事片,1101822021,118,我的非凡父母,天马影联影视文化（北京）有限公司,,,,,
4,国产故事片,1103892021,179,焚情,上海鸣肇影视文化有限公司,,,,,
5,国产故事片,1102132021,187,丹顶鹤,陕西富强圣都影视文化传媒有限公司,,,,,
6,国产故事片,1102462021,214,紧急营救,非常道影视文化传媒温州有限公司,,,,,
7,国产故事片,1102822021,239,安家,云合影从文化有限公司,,,,,
8,国产故事片,1103472021,292,花渡好时光,苏州新相事成文化传媒有限公司,,,,,
9,国产故事片,1103522021,297,憋住·别笑,深圳奇思妙想影业有限公司,,,,,
10,国产故事片,1103592021,304,爱情的代驾,宁夏群英影业有限公司,,,,,
11,国产故事片,1103612021,308,你是我的一束光,云南民族电影制片厂,,,,,
12,国产故事片,1104072021,338,张三丰2无极战场,江苏东峰文化发展有限公司,,,,,
13,国产故事片,1104102021,342,致命棋局,西安沣镐嘉艺影视文化传播有限公司,,,,,
14,国产故事片,1104142021,350,农民院士,云南润视荣光影业制作有限公司,,,,,
15,国产故事片,1104422021,373,狄公案·伏虎,陕西华源浩海影视制作发行有限公司,,,,,
16,国产故事片,1104482021,379,平原上的火焰,上海猫眼影业有限公司,2021-12-24,张骥,周冬⾬、刘昊然、梅婷,中国,https://www.zgdypw.cn/sc/scxx/202112/09/W020211209381495169075.png
17,国产故事片,1104512021,382,谷魂,五洲同聲河北文化传媒有限公司,,,,,
18,国产故事片,1104742021,400,古董局中局,英皇（北京）影视文化传媒有限公司,2021-12-03,郭⼦健,葛优、雷佳⾳、李现、⾟芷蕾,中国,https://www.zgdypw.cn/sc/scxx/202111/25/W020211125344838545580.png
19,国产故事片,1104872021,415,辣妈犟爸,陕西圣都广场数字电影院线有限公司,,,,,
20,国产故事片,1104922021,420,谁说我不靠谱,山西芸韵百纳影视文化有限公司,,,,,
21,国产故事片,1105182021,442,爸爸来了,无锡慈文传媒有限公司,,,,,
22,国产故事片,1105402021,456,断金,上海腾讯企鹅影视文化传播有限公司,,,,,
23,国产故事片,1100342020,22,孤独的守望者,甘肃龙门影业有限公司,,,,,
24,国产故事片,1104292020,375,荒野咖啡馆,魔菩威（苏州）影视文化传播有限公司,,,,,
25,国产故事片,1104382020,390,戏是人生,汕头市东晟传媒有限公司,,,,,
26,国产故事片,1105522020,444,反贪风暴5,上海鸣肇影视文化有限公司,,,,,
27,国产故事片,1105902020,512,出拳吧，妈妈,高笔影视文化传媒（苏州）有限公司,,,,,
